title,rating,year,country,people_num
肖申克的救赎,9.7,1994 / 美国 / 犯罪 剧情,,3165900
霸王别姬,9.6,1993 / 中国大陆 中国香港 / 剧情 爱情 同性,,2338056
泰坦尼克号,9.5,1997 / 美国 墨西哥 / 剧情 爱情 灾难,,2401974
阿甘正传,9.5,1994 / 美国 / 剧情 爱情,,2352374
千与千寻,9.4,2001 / 日本 / 剧情 动画 奇幻,,2445649
美丽人生,9.5,1997 / 意大利 / 剧情 喜剧 爱情 战争,,1434633
这个杀手不太冷,9.4,1994 / 法国 美国 / 剧情 动作 犯罪,,2482129
星际穿越,9.4,2014 / 美国 英国 加拿大 / 剧情 科幻 冒险,,2078670
盗梦空间,9.4,2010 / 美国 英国 / 剧情 科幻 悬疑 冒险,,2247984
楚门的世界,9.4,1998 / 美国 / 剧情 科幻,,1930408
辛德勒的名单,9.5,1993 / 美国 / 剧情 历史 战争,,1210715
忠犬八公的故事,9.4,2009 / 美国 英国 / 剧情,,1498689
海上钢琴师,9.3,1998 / 意大利 / 剧情 音乐,,1822503
三傻大闹宝莱坞,9.2,2009 / 印度 / 剧情 喜剧 爱情 歌舞,,2011658
疯狂动物城,9.2,2016 / 美国 / 喜剧 动画 冒险,,2163489
放牛班的春天,9.3,2004 / 法国 瑞士 德国 / 剧情 音乐,,1427319
机器人总动员,9.3,2008 / 美国 / 科幻 动画 冒险,,1434905
无间道,9.3,2002 / 中国香港 / 剧情 犯罪 惊悚,,1506658
控方证人,9.6,1957 / 美国 / 剧情 犯罪 悬疑 惊悚,,668508
大话西游之大圣娶亲,9.2,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,,1657711
熔炉,9.3,2011 / 韩国 / 剧情,,1007323
触不可及,9.3,2011 / 法国 / 剧情 喜剧,,1244191
教父,9.3,1972 / 美国 / 剧情 犯罪,,1064076
寻梦环游记,9.1,2017 / 美国 / 喜剧 动画 奇幻 音乐,,1887004
当幸福来敲门,9.1,2006 / 美国 / 剧情 传记 家庭,,1639193
末代皇帝,9.3,1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,,987835
哈利·波特与魔法石,9.2,2001 / 美国 英国 / 奇幻 冒险,,1359395
龙猫,9.2,1988 / 日本 / 动画 奇幻 冒险,,1369340
怦然心动,9.1,2010 / 美国 / 剧情 喜剧 爱情,,1987318
活着,9.3,1994 / 中国大陆 中国香港 / 剧情 历史 家庭,,935287
蝙蝠侠：黑暗骑士,9.2,2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,,1155359
指环王3：王者无敌,9.3,2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险,,879087
我不是药神,9.0,2018 / 中国大陆 / 剧情 喜剧,,2283165
乱世佳人,9.3,1939 / 美国 / 剧情 历史 爱情 战争,,761219
飞屋环游记,9.1,2009 / 美国 / 剧情 喜剧 动画 冒险,,1446957
让子弹飞,9.0,2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部,,1858769
哈尔的移动城堡,9.1,2004 / 日本 / 爱情 动画 奇幻 冒险,,1231497
素媛,9.3,2013 / 韩国 / 剧情,,751640
十二怒汉,9.4,1957 / 美国 / 剧情,,553193
海蒂和爷爷,9.3,2015 / 德国 瑞士 / 剧情 冒险 家庭,,732042
猫鼠游戏,9.1,2002 / 美国 加拿大 / 传记 犯罪 剧情,,1156306
天空之城,9.2,1986 / 日本 / 动画 奇幻 冒险,,973495
摔跤吧！爸爸,9.0,2016 / 印度 / 剧情 传记 运动 家庭,,1693706
鬼子来了,9.3,2000 / 中国大陆 / 剧情 喜剧,,688815
少年派的奇幻漂流,9.1,2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险,,1449333
钢琴家,9.3,2002 / 英国 法国 波兰 德国 美国 / 剧情 传记 战争 音乐,,719712
指环王2：双塔奇兵,9.2,2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,,827025
大话西游之月光宝盒,9.0,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装,,1321553
死亡诗社,9.2,1989 / 美国 / 剧情,,834192
何以为家,9.1,2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情,,1132407
闻香识女人,9.1,1992 / 美国 / 剧情,,986414
绿皮书,8.9,2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐,,1821692
大闹天宫,9.4,1961(中国大陆),1964(中国大陆),489300
黑客帝国,9.1,1999 / 美国 / 动作 科幻,,915524
指环王1：护戒使者,9.1,2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,,926872
罗马假日,9.1,1953 / 美国 / 喜剧 剧情 爱情,,1018738
教父2,9.3,1974 / 美国 / 剧情 犯罪,,612665
狮子王,9.1,1994 / 美国 / 动画 冒险 歌舞,,927725
天堂电影院,9.2,1988 / 意大利 法国 / 剧情 爱情,,722729
饮食男女,9.2,1994 / 中国台湾 美国 / 剧情 家庭,,690972
辩护人,9.2,2013 / 韩国 / 剧情,,641163
搏击俱乐部,9.0,1999 / 美国 / 剧情 动作 悬疑 惊悚,,931539
本杰明·巴顿奇事,9.0,2008 / 美国 / 剧情 爱情 奇幻,,1069060
美丽心灵,9.1,2001 / 美国 / 传记 剧情,,831648
穿条纹睡衣的男孩,9.2,2008 / 英国 美国 / 剧情 战争,,621480
情书,8.9,1995 / 日本 / 剧情 爱情,,1255048
窃听风暴,9.2,2006 / 德国 / 剧情 悬疑,,614683
两杆大烟枪,9.1,1998 / 英国 / 剧情 喜剧 犯罪,,653510
哈利·波特与死亡圣器(下),9.0,2011 / 美国 英国 / 奇幻 冒险,,934706
音乐之声,9.1,1965 / 美国 / 剧情 传记 爱情 歌舞,,661164
西西里的美丽传说,8.9,2000 / 意大利 美国 / 剧情 战争 情色,,1062335
功夫,8.9,2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻,,1279245
阿凡达,8.8,2009 / 美国 / 动作 科幻 冒险,,1530058
哈利·波特与阿兹卡班的囚徒,9.0,2004 / 英国 美国 / 奇幻 冒险,,851787
看不见的客人,8.8,2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,,1394428
拯救大兵瑞恩,9.1,1998 / 美国 / 剧情 战争,,702165
小鞋子,9.2,1997 / 伊朗 / 剧情 儿童 家庭,,448506
沉默的羔羊,8.9,1991 / 美国 / 剧情 犯罪 惊悚,,981029
飞越疯人院,9.1,1975 / 美国 / 剧情,,587424
布达佩斯大饭店,8.9,2014 / 美国 德国 英国 / 剧情 喜剧 冒险,,1045440
蝴蝶效应,8.9,2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,,1030127
禁闭岛,8.9,2010 / 美国 / 剧情 悬疑 惊悚,,1074765
致命魔术,8.9,2006 / 英国 美国 / 剧情 悬疑 惊悚,,935675
心灵捕手,9.0,1997 / 美国 / 剧情,,789859
低俗小说,8.9,1994 / 美国 / 剧情 喜剧 犯罪,,924190
超脱,9.0,2011 / 美国 / 剧情,,693175
哈利·波特与密室,8.9,2002 / 英国 美国 / 奇幻 冒险,,877502
摩登时代,9.3,1936 / 美国 / 剧情 喜剧 爱情,,333602
喜剧之王,8.8,1999 / 中国香港 / 喜剧 剧情 爱情,,1058085
杀人回忆,8.9,2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚,,804119
致命ID,8.9,2003 / 美国 / 剧情 悬疑 惊悚,,913033
春光乍泄,9.0,1997 / 中国香港 日本 韩国 / 剧情 爱情 同性,,689565
海豚湾,9.3,2009 / 美国 / 纪录片,,375689
一一,9.1,2000 / 中国台湾 日本 / 剧情 爱情 家庭,,467833
美国往事,9.1,1984 / 美国 意大利 / 犯罪 剧情,,455317
加勒比海盗,8.8,2003 / 美国 / 动作 冒险 奇幻,,937352
红辣椒,9.0,2006 / 日本 / 动画 悬疑 科幻 惊悚,,541506
七宗罪,8.8,1995 / 美国 / 剧情 犯罪 悬疑 惊悚,,1023874
唐伯虎点秋香,8.7,1993 / 中国香港 / 喜剧 爱情 古装,,1184589
狩猎,9.1,2012 / 丹麦 瑞典 / 剧情,,447814
还有明天,9.4,2023 / 意大利 / 剧情 喜剧 历史,,274447
幽灵公主,8.9,1997 / 日本 / 动画 奇幻 冒险,,628038
甜蜜蜜,8.9,1996 / 中国香港 / 剧情 爱情,,641940
7号房的礼物,8.9,2013 / 韩国 / 剧情 喜剧 家庭,,605457
蝙蝠侠：黑暗骑士崛起,8.9,2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,,788447
寄生虫,8.8,2019 / 韩国 / 剧情,,1497735
天书奇谭,9.2,1983(中国大陆),2021 / 中国大陆 / 动画 奇幻,315461
超能陆战队,8.8,2014 / 美国 / 喜剧 动作 科幻 动画 冒险,,1110044
爱在黎明破晓前,8.8,1995 / 美国 奥地利 瑞士 / 剧情 爱情,,766321
被嫌弃的松子的一生,8.8,2006 / 日本 / 剧情 歌舞,,754823
第六感,8.9,1999 / 美国 / 剧情 悬疑 惊悚,,614823
爱在日落黄昏时,8.9,2004 / 美国 法国 / 剧情 爱情,,627682
重庆森林,8.8,1994 / 中国香港 / 剧情 爱情,,893864
入殓师,8.9,2008 / 日本 / 剧情,,727432
剪刀手爱德华,8.7,1990 / 美国 / 剧情 爱情 奇幻,,1098578
断背山,8.8,2005 / 美国 加拿大 / 剧情 爱情 同性 家庭,,759897
菊次郎的夏天,8.9,1999 / 日本 / 剧情 喜剧,,654213
未麻的部屋,9.1,1997 / 日本 / 剧情 犯罪 动画 悬疑 惊悚,,403140
勇敢的心,8.9,1995 / 美国 / 动作 传记 剧情 历史 战争,,592809
哈利·波特与火焰杯,8.8,2005 / 英国 美国 / 悬疑 奇幻 冒险,,767100
借东西的小人阿莉埃蒂,8.9,2010 / 日本 / 动画 奇幻 冒险,,607700
茶馆,9.6,1982(中国大陆) / 中国大陆 / 剧情 历史,,191060
头脑特工队,8.8,2015 / 美国 / 喜剧 动画 冒险,,762194
时空恋旅人,8.8,2013 / 英国 美国 / 喜剧 爱情 奇幻,,758350
消失的爱人,8.7,2014 / 美国 / 剧情 犯罪 悬疑 惊悚,,1042809
无人知晓,9.1,2004 / 日本 / 剧情,,360144
倩女幽魂,8.8,1987 / 中国香港 / 爱情 奇幻 武侠 古装,,813789
完美的世界,9.1,1993 / 美国 / 剧情 犯罪,,348757
阳光灿烂的日子,8.8,1994 / 中国大陆 中国香港 / 剧情 爱情,,673057
花样年华,8.8,2000 / 中国香港 / 剧情 爱情,,763150
小森林 夏秋篇,9.0,2014 / 日本 / 剧情,,460350
驯龙高手,8.8,2010 / 美国 / 动画 奇幻 冒险,,826727
天使爱美丽,8.7,2001 / 法国 德国 / 剧情 喜剧 爱情,,1002929
新世界,8.9,2013 / 韩国 / 剧情 犯罪,,504727
傲慢与偏见,8.7,2005 / 法国 英国 美国 / 剧情 爱情,,890548
侧耳倾听,8.9,1995 / 日本 / 剧情 爱情 动画,,506106
一个叫欧维的男人决定去死,8.9,2015 / 瑞典 / 剧情,,544519
怪兽电力公司,8.8,2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险,,744250
玩具总动员3,8.9,2010 / 美国 / 喜剧 动画 奇幻 冒险,,571386
请以你的名字呼唤我,8.8,2017 / 意大利 法国 巴西 美国 / 剧情 爱情 同性,,796810
教父3,9.0,1990 / 美国 / 剧情 犯罪,,415572
幸福终点站,8.8,2004 / 美国 / 喜剧 剧情 爱情,,622130
色，戒,8.7,2007 / 中国台湾 中国大陆 美国 中国香港 / 剧情 爱情 情色,,922884
哪吒闹海,9.2,1979 / 中国大陆 / 冒险 动画 奇幻,,296310
被解救的姜戈,8.8,2012 / 美国 / 剧情 动作 西部 冒险,,668250
小森林 冬春篇,9.0,2015 / 日本 / 剧情,,409592
九品芝麻官,8.8,1994 / 中国香港 / 剧情 喜剧 古装,,763933
釜山行,8.6,2016 / 韩国 / 动作 惊悚 灾难,,1310688
神偷奶爸,8.7,2010 / 美国 法国 / 喜剧 动画 冒险,,1021317
萤火之森,8.8,2011 / 日本 / 剧情 爱情 动画 奇幻,,591367
喜宴,9.0,1993 / 中国台湾 美国 / 剧情 喜剧 爱情 同性 家庭,,411060
告白,8.8,2010 / 日本 / 剧情 悬疑,,722264
玛丽和马克思,9.0,2009 / 澳大利亚 美国 / 剧情 喜剧 动画,,448710
头号玩家,8.6,2018 / 美国 / 动作 科幻 冒险,,1474556
模仿游戏,8.8,2014 / 英国 美国 / 剧情 传记 战争 同性,,703474
大鱼,8.8,2003 / 美国 / 剧情 爱情 奇幻 冒险,,610664
七武士,9.3,1954 / 日本 / 动作 冒险 剧情,,223102
惊魂记,9.0,1960 / 美国 / 悬疑 惊悚 恐怖,,339614
射雕英雄传之东成西就,8.7,1993 / 中国香港 / 喜剧 奇幻 武侠 古装,,698296
血战钢锯岭,8.7,2016 / 澳大利亚 美国 / 剧情 传记 历史 战争,,838389
我是山姆,9.0,2001 / 美国 / 剧情 家庭,,365981
你的名字。,8.5,2016 / 日本 / 剧情 爱情 动画,,1547334
阳光姐妹淘,8.8,2011 / 韩国 / 剧情 喜剧,,623700
恐怖直播,8.7,2013 / 韩国 / 剧情 犯罪 悬疑,,709259
黑客帝国3：矩阵革命,8.8,2003 / 美国 / 动作 科幻,,483579
背靠背，脸对脸,9.5,1994 / 中国大陆 中国香港 / 剧情,,167069
心灵奇旅,8.7,2020 / 美国 / 动画 奇幻 音乐,,1096901
电锯惊魂,8.7,2004 / 美国 / 悬疑 惊悚 恐怖,,590898
三块广告牌,8.7,2017 / 英国 美国 / 剧情 犯罪,,894342
小丑,8.7,2019 / 美国 加拿大 / 剧情 犯罪 惊悚,,1100221
达拉斯买家俱乐部,8.8,2013 / 美国 / 剧情 传记 同性,,492230
谍影重重3,8.9,2007 / 美国 德国 法国 英国 / 动作 悬疑 惊悚,,455646
疯狂原始人,8.7,2013 / 美国 / 喜剧 动画 冒险,,899274
绿里奇迹,8.9,1999 / 美国 / 犯罪 剧情 奇幻 悬疑,,374289
无间道2,8.8,2003 / 中国香港 / 剧情 犯罪 惊悚,,544941
爱在午夜降临前,8.9,2013 / 美国 希腊 / 剧情 爱情,,453919
海街日记,8.8,2015 / 日本 / 剧情 家庭,,502315
上帝之城,9.0,2002 / 巴西 法国 / 犯罪 剧情,,325008
风之谷,8.9,1984 / 日本 / 动画 奇幻 冒险,,383776
英雄本色,8.6,1986 / 中国香港 / 剧情 动作 犯罪,,590026
疯狂的石头,8.6,2006 / 中国大陆 中国香港 / 喜剧 犯罪,,898656
雨中曲,9.1,1952 / 美国 / 喜剧 歌舞 爱情,,256846
心迷宫,8.7,2014 / 中国大陆 / 剧情 犯罪 悬疑,,592353
2001太空漫游,8.9,1968 / 英国 美国 / 科幻 惊悚 冒险,,376751
纵横四海,8.8,1991 / 中国香港 / 剧情 喜剧 动作 犯罪,,462524
记忆碎片,8.7,2000 / 美国 / 犯罪 剧情 悬疑 惊悚,,651574
卢旺达饭店,8.9,2004 / 英国 南非 意大利 美国 / 剧情 传记 历史 战争,,357986
末路狂花,9.0,1991 / 美国 英国 法国 / 犯罪 剧情 惊悚,,319692
无敌破坏王,8.7,2012 / 美国 / 喜剧 动画 奇幻 冒险,,594084
高山下的花环,9.5,1984(中国大陆),1985 / 中国大陆 / 剧情 战争,140063
小偷家族,8.7,2018 / 日本 / 剧情 犯罪 家庭,,876686
冰川时代,8.6,2002 / 美国 / 喜剧 动画 冒险,,667908
恐怖游轮,8.5,2009 / 英国 澳大利亚 / 剧情 悬疑 惊悚,,956533
东京教父,9.0,2003 / 日本 / 剧情 喜剧 动画,,275093
牯岭街少年杀人事件,8.9,1991 / 中国台湾 / 剧情 犯罪,,349922
岁月神偷,8.7,2010 / 中国香港 中国大陆 / 剧情 家庭,,603638
魔女宅急便,8.7,1989 / 日本 / 动画 奇幻 冒险,,507812
忠犬八公物语,9.2,1987 / 日本 / 剧情,,212655
荒蛮故事,8.7,2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪,,499928
遗愿清单,8.7,2007 / 美国 / 冒险 喜剧 剧情,,516958
大佛普拉斯,8.7,2017 / 中国台湾 / 剧情 喜剧,,531278
贫民窟的百万富翁,8.6,2008 / 英国 / 剧情 爱情,,792548
源代码,8.6,2011 / 美国 加拿大 / 科幻 悬疑 惊悚,,901414
芙蓉镇,9.3,1987 / 中国大陆 / 剧情 爱情,,175243
东邪西毒,8.6,1994 / 中国香港 中国台湾 / 剧情 动作 爱情 武侠 古装,,620417
你看起来好像很好吃,8.9,2010 / 日本 / 剧情 动画 儿童,,363398
疯狂的麦克斯4：狂暴之路,8.7,2015 / 澳大利亚 美国 / 动作 科幻 冒险,,599583
可可西里,8.9,2004 / 中国大陆 中国香港 / 剧情 犯罪,,334336
爆裂鼓手,8.6,2014 / 美国 / 剧情 音乐,,667473
城市之光,9.3,1931 / 美国 / 喜剧 剧情 爱情,,165054
波西米亚狂想曲,8.6,2018 / 英国 美国 / 剧情 传记 同性 音乐,,668922
花束般的恋爱,8.6,2021 / 日本 / 剧情 爱情,,774096
黑天鹅,8.6,2010 / 美国 / 剧情 惊悚,,827767
爱乐之城,8.4,2016 / 美国 / 剧情 爱情 歌舞,,1053623
青蛇,8.6,1993 / 中国香港 中国大陆 / 剧情 爱情 奇幻 古装,,575364
白日梦想家,8.6,2013 / 美国 英国 / 剧情 喜剧 冒险,,604994
哈利·波特与死亡圣器(上),8.6,2010 / 英国 美国 / 奇幻 冒险,,667705
终结者2：审判日,8.8,1991 / 美国 法国 / 动作 科幻,,371625
初恋这件小事,8.5,2010 / 泰国 / 剧情 喜剧 爱情,,1033354
无耻混蛋,8.7,2009 / 德国 美国 / 剧情 犯罪,,534894
雨人,8.7,1988 / 美国 / 剧情,,433093
新龙门客栈,8.7,1992 / 中国香港 中国大陆 / 动作 爱情 武侠 古装,,490382
人工智能,8.7,2001 / 美国 英国 / 剧情 科幻,,487239
虎口脱险,8.9,1966 / 法国 英国 / 喜剧 战争,,285117
崖上的波妞,8.6,2008 / 日本 / 动画 奇幻 冒险,,554737
真爱至上,8.5,2003 / 英国 美国 法国 / 喜剧 剧情 爱情,,789307
机器人之梦,9.1,2023 / 西班牙 法国 / 剧情 动画 音乐,,354321
大红灯笼高高挂,8.8,1991 / 中国大陆 中国香港 中国台湾 / 剧情,,346474
千钧一发,8.8,1997 / 美国 / 剧情 科幻 惊悚,,334326
恋恋笔记本,8.5,2004 / 美国 / 剧情 爱情,,729153
罗生门,8.8,1950 / 日本 / 剧情 犯罪 悬疑,,346669
彗星来的那一夜,8.6,2013 / 美国 英国 / 科幻 悬疑 惊悚,,656584
哈利·波特与凤凰社,8.5,2007 / 英国 美国 / 奇幻 冒险,,666506
海边的曼彻斯特,8.6,2016 / 美国 / 剧情 家庭,,624667
火星救援,8.5,2015 / 英国 美国 匈牙利 约旦 / 剧情 科幻 冒险,,805542
黑客帝国2：重装上阵,8.7,2003 / 美国 / 动作 科幻,,441993
奇迹男孩,8.6,2017 / 美国 中国香港 / 剧情 儿童 家庭,,587877
萤火虫之墓,8.7,1988 / 日本 / 动画 剧情 战争,,430254
战争之王,8.7,2005 / 美国 德国 / 剧情 犯罪,,403393
千年女优,8.8,2001 / 日本 / 动画 剧情 爱情,,305699
步履不停,8.8,2008 / 日本 / 剧情 家庭,,311645
血钻,8.7,2006 / 美国 德国 英国 / 剧情 惊悚 冒险,,411532
谍影重重2,8.7,2004 / 美国 德国 / 动作 悬疑 惊悚,,386214
蜘蛛侠：平行宇宙,8.6,2018 / 美国 / 动作 科幻 动画 冒险,,734705
魂断蓝桥,8.8,1940 / 美国 / 剧情 爱情 战争,,302152
房间,8.8,2015 / 爱尔兰 加拿大 英国 美国 / 剧情 家庭,,392456
冰雪奇缘,8.5,2013 / 美国 / 喜剧 动画 奇幻 歌舞,,783152
隐藏人物,8.9,2016 / 美国 / 剧情 传记 历史,,257076
谍影重重,8.6,2002 / 美国 德国 捷克 / 动作 悬疑 惊悚,,470911
弱点,8.7,2009 / 美国 / 剧情 家庭 传记 运动,,346544
